Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2012-02-14,1.3115,0.8363,102.89
2012-02-15,1.3074,0.8325,102.43
2012-02-16,1.3153,0.8318,103.79
2012-02-17,1.3157,0.8307,104.59
2012-02-20,1.3241,0.8355,105.37
2012-02-21,1.3236,0.8386,105.47
2012-02-22,1.3245,0.8452,106.34
2012-02-23,1.3365,0.8496,106.76
2012-02-24,1.3463,0.8469,108.94
2012-02-27,1.34,0.8469,107.88
2012-02-28,1.3461,0.8468,108.38
2012-02-29,1.3322,0.8369,108.28
2012-03-01,1.3306,0.8344,107.92
2012-03-02,1.3207,0.8337,108.04
2012-03-05,1.3221,0.8332,107.7
2012-03-06,1.3112,0.8341,105.97
2012-03-07,1.3148,0.8352,106.74
2012-03-08,1.3266,0.8383,108.23
2012-03-09,1.3114,0.8366,108.07
2012-03-12,1.315,0.8409,108.138
2012-03-13,1.3071,0.8328,108.48
2012-03-14,1.302,0.8307,109.047
2012-03-15,1.3094,0.8329,109.19
2012-03-16,1.3168,0.8317,109.74
2012-03-19,1.3236,0.8329,110.34
2012-03-20,1.3217,0.8334,110.711
2012-03-21,1.3207,0.8324,110.235
2012-03-22,1.3187,0.8337,108.836
2012-03-23,1.3262,0.8355,109.381
2012-03-26,1.3361,0.8367,110.57
2012-03-27,1.3329,0.8352,110.8
2012-03-28,1.3321,0.8383,110.315
2012-03-29,1.3293,0.8338,109.594
2012-03-30,1.3336,0.8336,110.351
2012-04-02,1.3328,0.8312,109.385
2012-04-03,1.3229,0.8316,109.625
2012-04-04,1.3139,0.8268,108.37
2012-04-05,1.3064,0.8255,107.688
2012-04-06,1.3088,0.8241,106.732
2012-04-09,1.3117,0.8247,107.055
2012-04-10,1.3076,0.8239,105.52
2012-04-11,1.3102,0.8238,106.02
2012-04-12,1.3187,0.8259,106.529
2012-04-13,1.3072,0.8249,105.973
2012-04-16,1.3138,0.8263,105.723
2012-04-17,1.313,0.8239,106.22
2012-04-18,1.3114,0.8186,106.558
2012-04-19,1.3134,0.818,107.102
2012-04-20,1.3215,0.819,107.777
2012-04-23,1.3154,0.8153,106.726
2012-04-24,1.3182,0.8169,107.196
2012-04-25,1.3214,0.8173,107.474
2012-04-26,1.324,0.8175,107.241
2012-04-27,1.3247,0.8144,106.471
2012-04-30,1.3236,0.8154,105.655
2012-05-01,1.3235,0.8159,106.131
2012-05-02,1.3156,0.8123,105.425
2012-05-03,1.315,0.8127,105.516
2012-05-04,1.3089,0.8106,104.516
2012-05-07,1.3058,0.8065,104.381
2012-05-08,1.3016,0.8055,103.915
2012-05-09,1.2942,0.8017,103.099
